MidArea_name,MidArea_code
新宿,Y055
銀座,Y005
有楽町,Y005
新橋,Y005
築地,Y005
月島,Y005
神田,Y020
神保町,Y020
秋葉原,Y020
御茶ノ水,Y020
恵比寿,Y040
中目黒,Y040
代官山,Y040
広尾,Y040
四ツ谷,Y013
市ヶ谷,Y013
九段下,Y013
赤羽,Y013
王子,Y013
十条,Y013
お台場,Y007
中野,Y060
高円寺,Y060
阿佐ヶ谷,Y060
方南町,Y060
巣鴨,Y057
大塚,Y057
駒込,Y057
調布,Y077
府中,Y077
千歳烏山,Y077
仙川,Y077
幡ヶ谷,Y076
笹塚,Y076
明大前,Y076
下高井戸,Y076
青梅,Y089
昭島,Y089
小作,Y089
青梅線沿線,Y089
池尻大橋,Y073
三軒茶屋,Y073
駒沢大学,Y073
祐天寺,Y075
学芸大学,Y075
都立大学,Y075
雪谷大塚,Y082
池上,Y082
西部新宿線,Y112
渋谷,Y030
大手町,Y010
日本橋,Y010
人形町,Y010
上野,Y015
御徒町,Y015
浅草,Y015
原宿,Y035
青山,Y035
表参道,Y035
錦糸町,Y017
浅草橋,Y017
両国,Y017
亀戸,Y017
蒲田,Y026
大森,Y026
大田区,Y026
八王子,Y110
立川,Y110
高田馬場,Y072
町田,Y105
武蔵小金井,Y083
多摩センター,Y090
南大沢,Y090
祖師ヶ谷大蔵,Y079
成城学園前,Y079
自由が丘,Y046
田園調布,Y046
不動前,Y081
武蔵小山,Y081
練馬,Y113
板橋,Y113
成増,Y113
江古田,Y113
都営三田線,Y114
池袋,Y050
品川,Y025
目黒,Y025
田町,Y025
浜松町,Y025
五反田,Y025
赤坂,Y045
六本木,Y045
麻布十番,Y045
西麻布,Y045
水道橋,Y006
飯田橋,Y006
神楽坂,Y006
北千住,Y016
日暮里,Y016
葛飾,Y016
荒川,Y016
門前仲町,Y018
東陽町,Y018
木場,Y018
葛西,Y018
吉祥寺,Y100
荻窪,Y100
三鷹,Y100
新大久保,Y056
大久保,Y056
国立,Y088
国分寺,Y088
下北沢,Y070
代々木上原,Y070
成績桜ヶ丘,Y119
高幡不動,Y119
分倍河原,Y119
経堂,Y078
千歳船橋,Y078
桜新町,Y074
用賀,Y074
二子玉川,Y074
大井町,Y080
中延,Y080
旗の台,Y080
戸越,Y080
馬込,Y080
西部池袋線,Y111
